year,month,decimal_year,average,deseasonalized,days,daily_std,monthly_unc,month_id,quality
1997,1,1997.0417,363.24,363.03,31,0.4,0.14,23964,reported
1997,2,1997.125,364.21,363.4,28,0.62,0.22,23965,reported
1997,3,1997.2083,364.65,363.02,31,0.4,0.14,23966,reported
1997,4,1997.2917,366.49,363.82,21,0.46,0.19,23967,reported
1997,5,1997.375,366.77,363.87,29,0.53,0.19,23968,reported
1997,6,1997.4583,365.73,363.56,27,0.23,0.09,23969,reported
1997,7,1997.5417,364.46,363.74,24,0.47,0.18,23970,reported
1997,8,1997.625,362.4,363.98,25,0.57,0.22,23971,reported
1997,9,1997.7083,360.44,363.83,26,0.63,0.24,23972,reported
1997,10,1997.7917,360.97,364.28,27,0.32,0.12,23973,reported
1997,11,1997.875,362.65,364.71,30,0.31,0.11,23974,reported
1997,12,1997.9583,364.51,365.28,30,0.41,0.14,23975,reported
1998,1,1998.0417,365.39,365.19,30,0.43,0.15,23976,reported
1998,2,1998.125,366.1,365.29,28,0.62,0.23,23977,reported
1998,3,1998.2083,367.36,365.73,31,0.82,0.28,23978,reported
1998,4,1998.2917,368.79,366.17,29,0.63,0.22,23979,reported
1998,5,1998.375,369.56,366.68,30,0.77,0.27,23980,reported
1998,6,1998.4583,369.13,366.95,28,0.24,0.09,23981,reported
1998,7,1998.5417,367.98,367.29,23,0.65,0.26,23982,reported
1998,8,1998.625,366.1,367.69,30,0.3,0.1,23983,reported
1998,9,1998.7083,364.16,367.51,28,0.4,0.14,23984,reported
1998,10,1998.7917,364.54,367.82,30,0.26,0.09,23985,reported
1998,11,1998.875,365.67,367.7,23,0.25,0.1,23986,reported
1998,12,1998.9583,367.3,368.05,26,0.36,0.14,23987,reported
1999,1,1999.0417,368.35,368.13,27,0.47,0.17,23988,reported
1999,2,1999.125,369.28,368.46,21,0.47,0.2,23989,reported
1999,3,1999.2083,369.84,368.24,25,0.81,0.31,23990,reported
1999,4,1999.2917,371.15,368.62,29,0.67,0.24,23991,reported
1999,5,1999.375,371.12,368.31,26,0.59,0.22,23992,reported
1999,6,1999.4583,370.46,368.29,26,0.44,0.16,23993,reported
1999,7,1999.5417,369.61,368.93,27,0.63,0.23,23994,reported
1999,8,1999.625,367.06,368.63,25,0.38,0.14,23995,reported
1999,9,1999.7083,364.95,368.28,28,0.74,0.27,23996,reported
1999,10,1999.7917,365.52,368.8,31,0.28,0.1,23997,reported
1999,11,1999.875,366.88,368.86,28,0.25,0.09,23998,reported
1999,12,1999.9583,368.26,368.93,26,0.29,0.11,23999,reported
2000,1,2000.0417,369.45,369.24,26,0.48,0.18,24000,reported
